x,y,z,label
-3134,3245,4449,2
-3324,2961,4114,2
-3600,2876,4093,2
-3833,3093,4422,2
-4032,3170,4516,2
-4245,3146,4508,2
-4532,3017,4417,2
-4633,2994,4305,2
-4589,2938,4016,2
-4557,2682,3508,2
-4519,2444,3375,2
-4266,2396,3723,2
-3816,2368,4031,2
-3250,2436,4168,2
-2761,2355,3841,2
-2501,2079,3320,2
-2130,1799,3150,2
-1825,1776,3959,2
-1756,1661,4963,2
-1815,1214,5036,2
-1722,797,4444,2
-1538,605,3715,2
-1202,466,3022,2
-759,380,2546,2
-493,409,2849,2
-568,438,3307,2
-637,316,3236,2
-766,82,2982,2
-743,-165,2773,2
-383,-263,2928,2
120,-55,3856,2
78,-327,5323,2
572,101,6002,2
1255,255,5588,2
1486,-89,4539,2
1906,-217,4278,2
2275,110,4709,2
2517,156,4962,2
2460,-86,4981,2
2450,-300,5101,2
2365,-487,5081,2
2241,-698,5061,2
2167,-768,5023,2
2003,-898,4856,2
1625,-1033,4616,2
1197,-1182,4484,2
800,-1276,4547,2
505,-1332,4562,2
449,-1215,4568,2
548,-1051,4373,2
644,-925,3985,2
724,-684,3726,2
625,-507,3596,2
359,-409,3455,2
7,-141,3609,2
-361,202,3755,2
-720,535,3582,2
-707,1052,3439,2
-441,1788,3581,2
-429,2158,3748,2
-1076,2146,3929,2
-1667,2555,4871,2
-1996,2638,4284,2
-2278,3054,3923,2
-2672,3514,3901,2
-3188,3980,4357,2
-3670,4133,4723,2
-4068,3901,4640,2
-4178,3927,4675,2
-3991,4197,4956,2
-3775,4330,5110,2
-3685,4251,4936,2
-3695,3966,4520,2
-3631,3603,3806,2
-3430,3353,3159,2
-3291,3180,3040,2
-3259,2936,3290,2
-3143,2658,3419,2
-2956,2429,3325,2
-2714,2184,3050,2
-2330,1975,2948,2
-2171,1815,3262,2
-2140,1621,3599,2
-2019,1486,3546,2
-1597,1462,3604,2
-1409,1412,4062,2
-1406,1096,4116,2
-1358,773,3614,2
-1224,639,2857,2
-881,600,2447,2
-732,751,3184,2
-382,856,4016,2
142,795,4162,2
518,720,3810,2
610,523,3117,2
410,328,2990,2
-198,461,4079,2
-58,674,5202,2
489,490,5288,2
1020,9,4560,2
1272,-371,3863,2
1103,-486,4115,2
565,-127,5438,2
1090,-590,5117,2
1588,-770,5146,2
1910,-994,5073,2
1835,-967,5278,2
1571,-931,5424,2
1434,-1027,5139,2
1401,-948,5169,2
1264,-1064,5126,2
1075,-1297,4837,2
811,-1456,4432,2
571,-1456,4350,2
237,-1400,4516,2
53,-1320,4561,2
166,-1292,4181,2
399,-1120,3810,2
557,-798,3743,2
467,-485,3949,2
84,-291,4099,2
-153,-123,3838,2
-99,163,3313,2
74,612,3195,2
-178,1129,3605,2
-631,1533,3998,2
-1024,1774,3924,2
-1399,2099,3891,2
-1836,2667,4252,2
-2192,3084,4651,2
-2606,3054,4101,2
-2951,3318,4210,2
-3138,3642,4283,2
-2977,4167,4399,2
-2896,4537,4483,2
-3148,4467,4300,2
-3500,4239,3953,2
-3657,4238,3672,2
-3703,4215,3602,2
-3941,4146,3876,2
-4157,3912,3943,2
-4258,3564,3718,2
-4210,3253,3381,2
-4013,2958,3135,2
-3667,2821,3324,2
-3304,2687,3553,2
-2924,2406,3401,2
-2571,2140,3067,2
-2150,1935,2975,2
-2133,1751,3474,2
-2171,1497,3999,2
-1950,1303,4138,2
-1315,1144,3944,2
-712,1095,3803,2
-349,1105,4098,2
-572,1042,4799,2
-956,702,4743,2
-917,53,3900,2
-109,-129,3714,2
790,266,4271,2
1235,492,4613,2
1216,473,4691,2
690,120,4232,2
13,-210,3774,2
-639,-366,3565,2
-670,-598,3350,2
-141,-615,3341,2
364,-488,3532,2
613,-457,3796,2
738,-574,3985,2
907,-648,4170,2
1244,-651,4460,2
1522,-626,4863,2
1821,-660,5259,2
2008,-594,5564,2
2054,-563,5737,2
1902,-686,5540,2
1666,-881,5088,2
1362,-1023,4724,2
1024,-1134,4508,2
689,-1192,4391,2
476,-1146,4494,2
294,-1054,4699,2
207,-1012,4694,2
190,-998,4371,2
299,-917,4076,2
452,-691,3980,2
329,-378,4018,2
-116,-159,3970,2
-550,-67,3778,2
-479,213,3646,2
-253,831,3811,2
-173,1377,3836,2
-404,1535,3345,2
-723,1612,2740,2
-749,2078,2692,2
-803,2707,3181,2
-1695,3065,4001,2
-2658,3091,4575,2
-3147,3086,4126,2
-3239,3400,3992,2
-3060,3994,4123,2
-3021,4598,4600,2
-3387,4671,4901,2
-3691,4600,5050,2
-3748,4592,5121,2
-3655,4474,4877,2
-3589,4284,4638,2
-3629,4059,4492,2
-3856,3715,4453,2
-4080,3282,4311,2
-3880,2932,3955,2
-3503,2746,3695,2
-3225,2609,3636,2
-3029,2470,3578,2
-2916,2236,3331,2
-2772,1988,3118,2
-2509,1862,3073,2
-2031,1843,2854,2
-1599,1813,2286,2
-1211,1629,1835,2
-1139,1390,2628,2
-1384,1137,3803,2
-1125,703,3854,2
-261,483,3169,2
638,491,2708,2
779,625,3817,2
488,1210,5424,2
410,1323,6000,2
395,604,4595,2
298,-128,2742,2
441,-453,1835,2
1242,33,2746,2
1459,999,4646,2
1062,1164,5615,2
441,175,4726,2
-30,-809,3256,2
-108,-1208,2787,2
371,-774,4206,2
899,-233,5165,2
1347,-974,4834,2
1544,-1492,5151,2
1922,-1576,5203,2
2285,-1379,5144,2
2232,-928,5681,2
1889,-750,5899,2
1493,-949,5569,2
1256,-1269,5026,2
1013,-1463,4542,2
676,-1527,4352,2
185,-1517,4494,2
-146,-1444,4798,2
-116,-1421,4895,2
-52,-1346,4863,2
138,-1191,4696,2
387,-1078,4252,2
463,-937,3840,2
377,-608,3680,2
132,-362,3450,2
115,-65,3284,2
152,380,3141,2
59,708,2889,2
-308,1046,2894,2
-816,1434,3098,2
-1106,1823,3087,2
-1106,2380,3050,2
-1187,3014,3285,2
-1675,3482,3715,2
-2308,3568,3942,2
-2750,3633,4046,2
-2643,4159,4209,2
-2339,4707,4109,2
-2336,5045,3954,2
-2760,5078,3911,2
-3476,4844,4023,2
-4030,4678,4325,2
-4129,4672,4529,2
-4125,4562,4552,2
-4234,4317,4531,2
-4179,3982,4395,2
-3903,3611,4175,2
-3432,3383,4223,2
-2963,3254,4347,2
-2594,3026,4191,2
-2386,2738,3821,2
-2264,2435,3426,2
-2165,2159,3422,2
-2037,1959,3687,2
-1857,1693,3751,2
-1623,1391,3436,2
-1181,1063,3152,2
-640,941,3629,2
-115,900,4122,2
165,691,4096,2
94,257,3576,2
85,-52,3231,2
172,-56,3310,2
410,28,3612,2
760,199,4234,2
887,234,4623,2
773,-57,4286,2
624,-415,3573,2
576,-626,3028,2
666,-616,3275,2
882,-425,4209,2
1072,-393,5129,2
965,-675,5333,2
898,-1077,4931,2
964,-1248,4533,2
1121,-1245,4474,2
1013,-1153,4820,2
981,-1100,5183,2
1126,-1127,5230,2
1315,-1225,5026,2
1228,-1270,4778,2
969,-1266,4656,2
688,-1250,4619,2
538,-1259,4678,2
441,-1173,5009,2
382,-971,5347,2
306,-960,5243,2
319,-1071,4691,2
417,-1008,4215,2
634,-718,4028,2
637,-479,3880,2
295,-397,3733,2
3,-279,3658,2
-238,4,3686,2
-421,290,3747,2
-500,603,3731,2
-275,952,3491,2
-126,1343,3099,2
-223,1789,2824,2
-398,2317,2724,2
-584,2730,2636,2
-817,3003,2634,2
-1226,3346,2740,2
-1617,3811,2965,2
-1893,4297,3742,2
-2161,4485,4092,2
-2556,4380,4156,2
-3001,4387,4376,2
-3165,4758,4919,2
-3106,4963,5078,2
-3214,4901,5018,2
-3545,4799,5177,2
-3811,4617,5174,2
-3943,4380,4866,2
-3938,4136,4616,2
-3851,3826,4476,2
-3688,3489,4427,2
-3274,3216,4305,2
-2681,3055,4242,2
-2123,2932,4189,2
-1840,2682,3998,2
-1547,2406,3862,2
-1209,2275,3980,2
-1100,2090,3988,2
-1123,1749,3728,2
-991,1409,3619,2
-646,1187,3924,2
-98,1140,4717,2
297,1093,5244,2
396,859,4914,2
229,546,3955,2
-174,363,3318,2
-936,209,3110,2
-1387,-64,2794,2
-1173,-425,2354,2
-375,-477,2355,2
838,-440,2752,2
1754,-339,3551,2
2021,-327,4259,2
1796,-527,4267,2
1384,-901,3479,2
1178,-1098,2783,2
1522,-987,3138,2
1794,-545,4411,2
1895,-394,5187,2
1747,-641,5030,2
1385,-864,4794,2
969,-1015,4885,2
674,-1138,5227,2
538,-1007,5699,2
706,-1037,5665,2
907,-1115,5422,2
922,-1028,5346,2
660,-954,5201,2
325,-1014,4940,2
-23,-1034,4870,2
-242,-915,4961,2
-242,-815,4976,2
-259,-679,4937,2
-280,-588,4748,2
-93,-573,4395,2
116,-454,4162,2
184,-229,3995,2
91,-32,3773,2
28,113,3433,2
298,361,3066,2
735,832,2826,2
943,1338,2758,2
524,1713,2824,2
-222,1950,2794,2
-730,2096,2613,2
-843,2481,2589,2
-611,3151,2975,2
-607,3757,3338,2
-862,4092,3760,2
-1083,4153,3519,2
-1134,4022,3324,2
-1247,3781,3052,2
-1920,3858,3826,2
-2943,4038,4875,2
-3731,4037,5234,2
-4082,3938,5015,2
-4329,3950,5059,2
-4635,4027,5557,2
-4657,3956,5726,2
-4429,3820,5375,2
-4074,3638,4856,2
-3776,3507,4573,2
-3347,3344,4392,2
-2826,3198,4282,2
-2328,3077,4248,2
-1896,2956,4137,2
-1542,2807,3748,2
-1199,2595,3229,2
-1098,2425,3300,2
-1033,2278,3773,2
-838,2113,3882,2
-699,1860,3505,2
-565,1522,3058,2
123,1296,3043,2
548,1321,3950,2
724,1308,5067,2
813,1044,5300,2
991,607,4672,2
999,224,3792,2
836,71,3444,2
603,182,3879,2
481,334,4415,2
440,253,4350,2
409,-3,3691,2
186,-215,2942,2
-145,-353,2422,2
-26,-446,2502,2
242,-185,3495,2
486,27,4406,2
538,-121,4501,2
443,-444,4023,2
193,-641,3571,2
-203,-632,3711,2
-643,-499,4123,2
-455,-696,4114,2
298,-954,4223,2
985,-1012,4726,2
1296,-1085,5309,2
1461,-1100,5733,2
1543,-1206,5802,2
1342,-1338,5546,2
1043,-1420,5218,2
783,-1401,5016,2
673,-1313,4943,2
626,-1166,4942,2
517,-1097,4743,2
259,-1056,4371,2
15,-1028,4053,2
-204,-871,3995,2
-361,-679,4036,2
-442,-472,4115,2
-547,-267,4219,2
-788,-14,4373,2
-849,304,4396,2
-681,643,4297,2
-498,1016,4105,2
-357,1321,3690,2
-213,1662,3446,2
-218,2198,3609,2
-277,2701,3818,2
-277,3028,3768,2
-354,3187,3508,2
-642,3410,3361,2
-926,3813,3396,2
-1191,4112,3248,2
-1608,4268,2961,2
-2012,4494,2933,2
-2173,4836,3226,2
-2106,5282,3847,2
-2182,5553,4372,2
-2540,5475,4610,2
-3020,5276,4622,2
-3367,4953,4363,2
-3497,4648,4078,2
-3131,4511,4223,2
-2687,4372,4555,2
-2047,4131,4617,2
-1383,3895,4433,2
-1085,3596,4114,2
-1151,3209,3797,2
-1249,2803,3638,2
-1299,2452,3609,2
-1103,2160,3738,2
-758,1933,4000,2
-310,1743,4492,2
-195,1568,4838,2
-363,1258,4712,2
-538,931,4373,2
-618,696,3975,2
-848,634,3906,2
-1363,587,3758,2
-1273,267,3425,2
-573,258,3512,2
22,464,3707,2
179,554,3563,2
-192,516,3365,2
24,323,3425,2
376,380,3735,2
244,352,3694,2
-232,242,3255,2
-834,181,2813,2
-848,46,2748,2
-55,9,3369,2
1003,48,4223,2
1604,83,4741,2
1533,-11,4695,2
1164,-163,4293,2
826,-506,3887,2
625,-695,4177,2
388,-301,5509,2
688,-806,5697,2
1240,-935,5592,2
1600,-751,5808,2
1632,-690,5808,2
1270,-718,5519,2
780,-774,5055,2
340,-942,4416,2
180,-1037,4053,2
142,-978,4218,2
93,-712,4854,2
69,-526,5277,2
-90,-698,5021,2
-226,-968,4515,2
-302,-993,4158,2
-178,-1003,3931,2
0,-874,4072,2
34,-606,4325,2
-136,-480,4149,2
-397,-436,3655,2
-354,-239,3255,2
11,135,3115,2
23,493,2933,2
-213,696,2612,2
-119,983,2476,2
83,1459,2701,2
