x,y,z
2,0,4177
6,4,4174
3,0,4169
2,3,4172
2,3,4169
-1,1,4167
3,5,4174
6,4,4177
4,0,4166
2,-2,4166
6,-2,4171
6,0,4173
6,0,4175
7,4,4178
6,4,4175
8,1,4173
5,1,4167
3,0,4168
7,0,4173
6,0,4177
2,-1,4178
3,0,4173
5,5,4169
2,0,4166
3,-1,4169
0,-5,4179
0,-8,4176
0,-8,4163
4,-7,4164
5,-8,4165
5,-4,4168
0,0,4171
-3,-5,4170
-1,-4,4171
-1,-4,4175
0,-3,4174
0,0,4172
1,-2,4171
-3,0,4168
-3,0,4169
-2,-1,4172
1,-3,4170
0,2,4171
0,3,4164
-2,0,4164
0,-2,4171
1,1,4172
-3,3,4173
-4,3,4175
-3,0,4174
-5,-1,4174
-4,4,4169
-5,4,4171
-2,3,4177
-5,0,4180
-8,-4,4179
-3,-4,4175
0,-3,4170
0,1,4173
-1,0,4173
-2,-2,4169
2,-3,4175
6,-1,4181
0,2,4179
-2,4,4180
-6,3,4177
-5,-5,4189
-3,-5,4179
0,-3,4181
-1,0,4180
1,-2,4173
1,-2,4173
4,0,4173
5,-7,4175
3,-7,4178
-1,-5,4175
2,1,4174
4,3,4170
-5,0,4166
0,0,4157
1,-3,4160
-4,-2,4165
-5,-4,4163
0,-2,4163
0,2,4173
2,1,4173
3,0,4169
5,-2,4168
3,0,4166
5,7,4169
9,2,4164
6,-2,4167
0,-5,4163
0,-3,4167
-3,0,4166
6,4,4173
3,-2,4162
2,-6,4157
0,-2,4170
-5,-9,4176
-2,0,4177
-1,-4,4172
-3,0,4169
0,1,4165
0,-1,4172
8,-3,4170
8,-5,4169
8,-3,4166
10,-1,4167
3,0,4164
3,1,4164
3,0,4171
0,1,4167
0,2,4168
-2,0,4174
3,7,4177
2,1,4171
0,-3,4167
5,-5,4165
-2,-2,4158
3,-3,4162
3,-1,4166
2,-1,4164
-1,5,4169
0,6,4162
2,10,4163
0,7,4162
3,-2,4170
6,0,4173
4,-2,4172
3,-4,4172
0,0,4169
-6,2,4172
-2,-1,4175
0,-6,4178
6,-4,4181
3,-3,4176
3,-2,4178
-3,0,4175
-5,-2,4170
-4,0,4164
-2,-5,4163
-2,0,4168
-8,1,4169
-9,-1,4173
-4,5,4175
-3,-3,4174
0,-4,4167
-1,-5,4168
-2,0,4166
-2,3,4168
-2,3,4167
-9,5,4165
-3,3,4167
0,0,4171
3,5,4179
8,2,4172
5,0,4175
0,0,4177
1,0,4171
-3,0,4170
-2,-2,4172
0,0,4180
-2,-1,4178
-1,0,4170
-4,0,4162
-4,0,4159
-2,-5,4162
0,-7,4159
1,-2,4163
6,2,4164
4,5,4165
5,2,4170
0,-1,4173
-1,-4,4173
-1,-1,4177
-1,-2,4177
0,-2,4177
1,4,4181
0,4,4181
0,-1,4173
2,-1,4167
0,-2,4170
4,-3,4168
0,0,4168
3,-1,4168
3,-4,4165
0,0,4164
0,-3,4167
0,0,4164
-2,0,4166
1,0,4168
4,-1,4161
9,3,4161
6,1,4163
5,-1,4159
3,-4,4164
0,-1,4163
-5,0,4168
0,-1,4171
0,-1,4176
1,-1,4179
1,-3,4181
-1,-2,4176
-5,0,4176
-1,-2,4177
0,-1,4180
7,-4,4169
1,-5,4171
0,-5,4171
-4,-2,4170
-1,-2,4169
-1,-3,4171
-5,-2,4174
-7,-5,4178
-2,-3,4173
0,-4,4167
-1,-3,4161
2,-4,4165
3,-5,4167
4,-4,4173
5,0,4167
2,3,4159
5,2,4155
1,0,4161
4,-3,4161
0,3,4170
1,0,4162
-1,0,4167
-1,-1,4172
0,0,4166
3,2,4168
1,5,4169
0,4,4181
-2,7,4177
-3,9,4178
-2,9,4175
-1,7,4177
2,4,4180
-1,0,4190
1,0,4190
-6,0,4185
-4,1,4177
0,0,4183
2,0,4181
0,-2,4175
0,-4,4177
-4,-7,4175
-4,-5,4175
-3,-2,4172
3,3,4168
1,7,4167
3,8,4169
3,0,4174
0,-4,4179
0,-2,4172
1,-1,4178
-3,0,4181
0,-2,4180
-3,0,4181
-6,-3,4181
-6,-1,4184
-4,0,4178
-3,5,4175
-2,5,4175
1,3,4169
0,4,4171
0,3,4173
-1,3,4172
-3,4,4173
-3,4,4172
-1,0,4173
-1,-6,4171
2,1,4175
7,1,4169
3,-1,4172
3,-2,4167
5,-3,4169
