x,y,z
-766,82,2982
-743,-165,2773
-383,-263,2928
120,-55,3856
78,-327,5323
572,101,6002
1255,255,5588
1486,-89,4539
1906,-217,4278
2275,110,4709
2517,156,4962
2460,-86,4981
2450,-300,5101
2365,-487,5081
2241,-698,5061
2167,-768,5023
2003,-898,4856
1625,-1033,4616
1197,-1182,4484
800,-1276,4547
505,-1332,4562
449,-1215,4568
548,-1051,4373
644,-925,3985
724,-684,3726
625,-507,3596
359,-409,3455
7,-141,3609
-361,202,3755
-720,535,3582
-707,1052,3439
-441,1788,3581
-429,2158,3748
-1076,2146,3929
-1667,2555,4871
-1996,2638,4284
-2278,3054,3923
-2672,3514,3901
-3188,3980,4357
-3670,4133,4723
-4068,3901,4640
-4178,3927,4675
-3991,4197,4956
-3775,4330,5110
-3685,4251,4936
-3695,3966,4520
-3631,3603,3806
-3430,3353,3159
-3291,3180,3040
-3259,2936,3290
-3143,2658,3419
-2956,2429,3325
-2714,2184,3050
-2330,1975,2948
-2171,1815,3262
-2140,1621,3599
-2019,1486,3546
-1597,1462,3604
-1409,1412,4062
-1406,1096,4116
-1358,773,3614
-1224,639,2857
-881,600,2447
-732,751,3184
-382,856,4016
142,795,4162
518,720,3810
610,523,3117
410,328,2990
-198,461,4079
-58,674,5202
489,490,5288
1020,9,4560
1272,-371,3863
1103,-486,4115
565,-127,5438
1090,-590,5117
1588,-770,5146
1910,-994,5073
1835,-967,5278
1571,-931,5424
1434,-1027,5139
1401,-948,5169
1264,-1064,5126
1075,-1297,4837
811,-1456,4432
571,-1456,4350
237,-1400,4516
53,-1320,4561
166,-1292,4181
399,-1120,3810
557,-798,3743
467,-485,3949
84,-291,4099
-153,-123,3838
-99,163,3313
74,612,3195
-178,1129,3605
-631,1533,3998
-1024,1774,3924
-1399,2099,3891
-1836,2667,4252
-2192,3084,4651
-2606,3054,4101
-2951,3318,4210
-3138,3642,4283
-2977,4167,4399
-2896,4537,4483
-3148,4467,4300
-3500,4239,3953
-3657,4238,3672
-3703,4215,3602
-3941,4146,3876
-4157,3912,3943
-4258,3564,3718
-4210,3253,3381
-4013,2958,3135
-3667,2821,3324
-3304,2687,3553
-2924,2406,3401
-2571,2140,3067
-2150,1935,2975
-2133,1751,3474
-2171,1497,3999
-1950,1303,4138
-1315,1144,3944
-712,1095,3803
-349,1105,4098
-572,1042,4799
-956,702,4743
-917,53,3900
-109,-129,3714
790,266,4271
1235,492,4613
1216,473,4691
690,120,4232
13,-210,3774
-639,-366,3565
-670,-598,3350
-141,-615,3341
364,-488,3532
613,-457,3796
738,-574,3985
907,-648,4170
1244,-651,4460
1522,-626,4863
1821,-660,5259
2008,-594,5564
2054,-563,5737
1902,-686,5540
1666,-881,5088
1362,-1023,4724
1024,-1134,4508
689,-1192,4391
476,-1146,4494
294,-1054,4699
207,-1012,4694
190,-998,4371
299,-917,4076
452,-691,3980
329,-378,4018
-116,-159,3970
-550,-67,3778
-479,213,3646
-253,831,3811
-173,1377,3836
-404,1535,3345
-723,1612,2740
-749,2078,2692
-803,2707,3181
-1695,3065,4001
-2658,3091,4575
-3147,3086,4126
-3239,3400,3992
-3060,3994,4123
-3021,4598,4600
-3387,4671,4901
-3691,4600,5050
-3748,4592,5121
-3655,4474,4877
-3589,4284,4638
-3629,4059,4492
-3856,3715,4453
-4080,3282,4311
-3880,2932,3955
-3503,2746,3695
-3225,2609,3636
-3029,2470,3578
-2916,2236,3331
-2772,1988,3118
-2509,1862,3073
-2031,1843,2854
-1599,1813,2286
-1211,1629,1835
-1139,1390,2628
-1384,1137,3803
-1125,703,3854
-261,483,3169
638,491,2708
779,625,3817
488,1210,5424
410,1323,6000
395,604,4595
298,-128,2742
441,-453,1835
1242,33,2746
1459,999,4646
1062,1164,5615
441,175,4726
-30,-809,3256
-108,-1208,2787
371,-774,4206
899,-233,5165
1347,-974,4834
1544,-1492,5151
1922,-1576,5203
2285,-1379,5144
2232,-928,5681
1889,-750,5899
1493,-949,5569
1256,-1269,5026
1013,-1463,4542
676,-1527,4352
185,-1517,4494
-146,-1444,4798
-116,-1421,4895
-52,-1346,4863
138,-1191,4696
387,-1078,4252
463,-937,3840
377,-608,3680
132,-362,3450
115,-65,3284
152,380,3141
59,708,2889
-308,1046,2894
-816,1434,3098
-1106,1823,3087
-1106,2380,3050
-1187,3014,3285
-1675,3482,3715
-2308,3568,3942
-2750,3633,4046
-2643,4159,4209
-2339,4707,4109
-2336,5045,3954
-2760,5078,3911
-3476,4844,4023
-4030,4678,4325
-4129,4672,4529
-4125,4562,4552
-4234,4317,4531
-4179,3982,4395
-3903,3611,4175
-3432,3383,4223
-2963,3254,4347
-2594,3026,4191
-2386,2738,3821
-2264,2435,3426
-2165,2159,3422
-2037,1959,3687
-1857,1693,3751
-1623,1391,3436
-1181,1063,3152
-640,941,3629
-115,900,4122
165,691,4096
94,257,3576
85,-52,3231
172,-56,3310
410,28,3612
760,199,4234
887,234,4623
773,-57,4286
624,-415,3573
576,-626,3028
666,-616,3275
882,-425,4209
1072,-393,5129
965,-675,5333
898,-1077,4931
964,-1248,4533
1121,-1245,4474
1013,-1153,4820
981,-1100,5183
1126,-1127,5230
1315,-1225,5026
1228,-1270,4778
969,-1266,4656
688,-1250,4619
538,-1259,4678
441,-1173,5009
382,-971,5347
306,-960,5243
319,-1071,4691
417,-1008,4215
634,-718,4028
637,-479,3880
295,-397,3733
3,-279,3658
-238,4,3686
-421,290,3747
-500,603,3731
-275,952,3491
-126,1343,3099
-223,1789,2824
-398,2317,2724
-584,2730,2636
-817,3003,2634
-1226,3346,2740
-1617,3811,2965
-1893,4297,3742
-2161,4485,4092
-2556,4380,4156
-3001,4387,4376
-3165,4758,4919
-3106,4963,5078
-3214,4901,5018
-3545,4799,5177
-3811,4617,5174
-3943,4380,4866
-3938,4136,4616
-3851,3826,4476
-3688,3489,4427
-3274,3216,4305
-2681,3055,4242
-2123,2932,4189
-1840,2682,3998
-1547,2406,3862
-1209,2275,3980
-1100,2090,3988
-1123,1749,3728
-991,1409,3619
-646,1187,3924
-98,1140,4717
297,1093,5244
396,859,4914
229,546,3955
-174,363,3318
-936,209,3110
-1387,-64,2794
-1173,-425,2354
-375,-477,2355
838,-440,2752
1754,-339,3551
2021,-327,4259
1796,-527,4267
1384,-901,3479
1178,-1098,2783
1522,-987,3138
1794,-545,4411
1895,-394,5187
1747,-641,5030
1385,-864,4794
969,-1015,4885
674,-1138,5227
538,-1007,5699
706,-1037,5665
907,-1115,5422
922,-1028,5346
660,-954,5201
325,-1014,4940
-23,-1034,4870
-242,-915,4961
-242,-815,4976
-259,-679,4937
-280,-588,4748
-93,-573,4395
116,-454,4162
184,-229,3995
91,-32,3773
28,113,3433
298,361,3066
735,832,2826
943,1338,2758
524,1713,2824
-222,1950,2794
-730,2096,2613
-843,2481,2589
-611,3151,2975
-607,3757,3338
-862,4092,3760
-1083,4153,3519
-1134,4022,3324
-1247,3781,3052
-1920,3858,3826
-2943,4038,4875
-3731,4037,5234
-4082,3938,5015
-4329,3950,5059
-4635,4027,5557
-4657,3956,5726
