x,y,z,label
634,1582,2785,1
546,1602,1737,1
379,1423,657,1
165,1173,-404,1
-74,895,-1348,1
-312,601,-2208,1
-510,254,-2918,1
-587,-121,-3361,1
-544,-460,-3434,1
-420,-684,-3326,1
-285,-782,-3182,1
-152,-705,-3014,1
31,-481,-2678,1
230,-122,-1989,1
358,255,-901,1
334,556,351,1
155,741,1452,1
-129,887,2335,1
-357,762,3469,1
-433,681,4438,1
-489,341,5145,1
-489,-94,5888,1
-461,-438,6745,1
-424,-756,7276,1
-310,-1119,7591,1
-55,-1263,7797,1
-23,-1208,7942,1
3,-1333,8024,1
91,-1337,8079,1
31,-1328,8117,1
-63,-1409,8132,1
-204,-1121,8180,1
-187,-1128,8186,1
147,-517,8253,1
331,137,8142,1
501,527,7740,1
644,790,7088,1
767,1037,6214,1
786,1272,5321,1
782,1574,4727,1
749,1958,4070,1
649,2258,2991,1
454,2209,1714,1
234,1869,567,1
20,1306,-328,1
-155,728,-1083,1
-296,184,-1664,1
-431,-297,-2101,1
-530,-680,-2462,1
-562,-918,-2655,1
-520,-994,-2648,1
-467,-944,-2570,1
-436,-771,-2468,1
-409,-473,-2254,1
-347,-163,-1814,1
-214,95,-1220,1
-77,263,-516,1
-20,308,164,1
-26,261,731,1
-66,376,1141,1
-82,219,2804,1
-53,246,4800,1
-95,187,6104,1
-27,0,6933,1
186,-125,7460,1
329,-431,7766,1
525,-817,7916,1
650,-1040,7998,1
598,-1201,8048,1
504,-1555,8044,1
473,-1816,8039,1
511,-1774,8065,1
611,-1281,8123,1
682,-464,8176,1
705,354,7771,1
760,1137,7076,1
732,1644,6348,1
770,2017,5648,1
790,2369,4773,1
658,2536,3556,1
461,2461,2195,1
207,2137,863,1
-53,1661,-336,1
-297,1099,-1220,1
-507,548,-1924,1
-681,68,-2456,1
-774,-264,-2766,1
-755,-472,-2778,1
-691,-566,-2644,1
-621,-592,-2562,1
-546,-514,-2540,1
-515,-324,-2463,1
-511,-82,-2328,1
-449,240,-2080,1
-342,556,-1453,1
-212,814,-556,1
-159,989,586,1
-178,877,1558,1
-208,848,3602,1
-87,743,5321,1
-23,391,6405,1
153,-422,7048,1
438,-1132,7422,1
722,-1668,7642,1
927,-1791,7797,1
863,-1802,7902,1
747,-1518,8002,1
497,-1254,8076,1
280,-1297,8103,1
165,-1386,8114,1
163,-1222,8144,1
124,-775,8183,1
204,-257,8213,1
364,336,8230,1
553,726,7960,1
798,1173,7359,1
872,1544,6433,1
932,1875,5599,1
985,2348,4815,1
879,2651,3682,1
666,2603,2168,1
350,2346,669,1
-37,1995,-530,1
-413,1593,-1503,1
-748,1112,-2314,1
-1005,660,-2893,1
-1187,319,-3253,1
-1282,87,-3326,1
-1256,-78,-3096,1
-1139,-239,-2771,1
-992,-463,-2537,1
-844,-649,-2387,1
-698,-726,-2228,1
-570,-714,-1944,1
-467,-635,-1529,1
-372,-560,-932,1
-280,-564,-365,1
-198,-500,158,1
-199,-52,1415,1
-217,-196,3804,1
-299,85,5469,1
-333,360,6536,1
-189,711,7252,1
73,596,7703,1
575,71,7952,1
1021,-528,8064,1
1229,-1285,8088,1
1230,-1646,8113,1
934,-1916,8129,1
513,-1865,8168,1
272,-2137,8168,1
459,-986,8277,1
417,-20,8296,1
522,635,8079,1
696,1010,7351,1
861,1263,6502,1
832,1402,5589,1
753,1625,4596,1
608,1876,3495,1
346,2001,2266,1
-11,1994,1035,1
-391,1866,-35,1
-716,1614,-794,1
-968,1288,-1408,1
-1134,884,-1865,1
-1218,475,-2121,1
-1211,101,-2259,1
-1136,-175,-2220,1
-1024,-376,-2126,1
-923,-536,-2122,1
-829,-633,-2181,1
-737,-605,-2191,1
-692,-491,-2115,1
-674,-360,-2029,1
-637,-189,-1955,1
-639,38,-1626,1
-685,240,-855,1
-704,330,406,1
-808,389,3024,1
-586,613,4944,1
-318,1075,6184,1
101,1236,7003,1
677,698,7529,1
1455,-194,7832,1
1826,-1160,7967,1
2094,-1965,8025,1
1953,-2338,8076,1
1558,-2676,8118,1
1102,-2406,8182,1
668,-2143,8212,1
766,-1097,8271,1
516,17,8215,1
345,733,7821,1
309,1226,7130,1
312,1451,5974,1
258,1436,4730,1
175,1373,3640,1
61,1252,2458,1
-124,1086,1228,1
-370,861,112,1
-658,591,-745,1
-923,340,-1407,1
-1140,84,-1905,1
-1277,-164,-2295,1
-1323,-312,-2508,1
-1308,-372,-2554,1
-1243,-349,-2521,1
-1157,-238,-2471,1
-1000,-60,-2328,1
-745,133,-1895,1
-415,290,-1072,1
-90,280,26,1
208,306,897,1
380,-113,2389,1
577,-217,4045,1
680,-162,5407,1
751,-192,6466,1
878,-181,7150,1
921,-240,7582,1
890,-213,7867,1
708,-500,8005,1
609,-729,8068,1
436,-829,8106,1
171,-1084,8113,1
40,-1420,8099,1
-25,-1506,8106,1
-24,-1213,8142,1
-15,-630,8182,1
53,-99,7853,1
197,209,7203,1
372,518,6617,1
488,752,6104,1
666,902,5555,1
866,993,4759,1
950,1010,3864,1
890,1061,3038,1
705,1070,2263,1
452,1030,1462,1
