x,y,z,label
2,-7,4159,0
1,-7,4162,0
3,-5,4167,0
4,-2,4170,0
2,2,4162,0
6,5,4166,0
9,4,4160,0
5,0,4165,0
6,2,4175,0
3,1,4175,0
0,0,4167,0
4,0,4169,0
0,6,4171,0
1,3,4173,0
-5,4,4176,0
-1,5,4178,0
-1,5,4176,0
-6,4,4172,0
-8,3,4177,0
-9,0,4176,0
-8,2,4178,0
-3,6,4183,0
4,-1,4175,0
6,-2,4169,0
3,0,4171,0
2,5,4178,0
0,-1,4173,0
-3,1,4175,0
1,1,4172,0
-1,0,4175,0
-4,-1,4183,0
-4,-2,4179,0
0,0,4174,0
1,4,4166,0
5,2,4162,0
2,-1,4170,0
5,1,4171,0
4,3,4173,0
0,2,4171,0
0,0,4169,0
0,5,4180,0
0,0,4176,0
-2,-3,4173,0
-1,4,4166,0
0,3,4168,0
-1,6,4166,0
-2,9,4163,0
4,6,4166,0
-2,0,4166,0
0,-2,4164,0
1,-2,4165,0
3,2,4177,0
-1,1,4175,0
-2,6,4179,0
-5,2,4171,0
-6,0,4168,0
0,-5,4168,0
1,-7,4171,0
1,-9,4167,0
1,-8,4170,0
2,-6,4170,0
0,-1,4165,0
0,2,4172,0
4,-2,4178,0
7,-2,4175,0
5,-3,4173,0
2,-6,4168,0
-2,-5,4171,0
2,0,4173,0
-1,2,4174,0
4,3,4172,0
3,0,4171,0
1,-4,4167,0
-1,0,4168,0
0,2,4176,0
-2,0,4175,0
-1,1,4179,0
3,2,4183,0
3,-4,4179,0
3,-6,4177,0
2,0,4182,0
1,-3,4177,0
1,-2,4168,0
3,-1,4172,0
8,0,4176,0
5,0,4170,0
2,-3,4171,0
0,0,4169,0
4,0,4166,0
3,-5,4165,0
1,-6,4165,0
1,-5,4169,0
-3,-7,4169,0
2,1,4177,0
3,-1,4171,0
3,-5,4165,0
3,-6,4160,0
8,-3,4162,0
9,-4,4161,0
5,-1,4167,0
6,2,4170,0
7,4,4167,0
2,1,4167,0
-1,5,4170,0
-1,7,4179,0
-4,8,4180,0
-4,2,4174,0
-1,0,4180,0
-3,-2,4182,0
3,1,4168,0
7,-2,4165,0
3,0,4162,0
2,-1,4169,0
0,-2,4168,0
1,-3,4170,0
3,0,4170,0
7,2,4165,0
8,1,4168,0
6,0,4165,0
4,-2,4167,0
-1,-2,4174,0
-1,0,4181,0
-5,-1,4176,0
0,-1,4173,0
0,1,4168,0
-2,-1,4175,0
-1,1,4175,0
-2,0,4180,0
-2,0,4180,0
-2,1,4174,0
-8,-1,4180,0
2,-3,4179,0
0,-1,4175,0
5,0,4174,0
4,0,4170,0
10,0,4173,0
7,0,4175,0
0,2,4167,0
0,2,4174,0
4,6,4181,0
2,5,4184,0
1,3,4182,0
1,4,4185,0
0,3,4180,0
1,6,4171,0
0,4,4176,0
7,6,4180,0
2,3,4180,0
-1,5,4176,0
-3,0,4182,0
-3,0,4180,0
-3,2,4176,0
-2,1,4171,0
-2,-1,4174,0
-8,-2,4177,0
-4,-1,4171,0
-5,-1,4168,0
0,0,4169,0
1,0,4169,0
3,-5,4171,0
0,-2,4173,0
0,0,4171,0
2,0,4175,0
0,1,4183,0
0,1,4172,0
0,-4,4170,0
3,-5,4170,0
1,-4,4168,0
0,-5,4174,0
-1,0,4175,0
2,0,4167,0
2,0,4177,0
6,4,4174,0
3,0,4169,0
2,3,4172,0
2,3,4169,0
-1,1,4167,0
3,5,4174,0
6,4,4177,0
4,0,4166,0
2,-2,4166,0
6,-2,4171,0
6,0,4173,0
6,0,4175,0
7,4,4178,0
6,4,4175,0
8,1,4173,0
5,1,4167,0
3,0,4168,0
7,0,4173,0
6,0,4177,0
2,-1,4178,0
3,0,4173,0
5,5,4169,0
2,0,4166,0
3,-1,4169,0
0,-5,4179,0
0,-8,4176,0
0,-8,4163,0
4,-7,4164,0
5,-8,4165,0
5,-4,4168,0
0,0,4171,0
-3,-5,4170,0
-1,-4,4171,0
-1,-4,4175,0
0,-3,4174,0
0,0,4172,0
1,-2,4171,0
-3,0,4168,0
-3,0,4169,0
-2,-1,4172,0
1,-3,4170,0
0,2,4171,0
0,3,4164,0
-2,0,4164,0
0,-2,4171,0
1,1,4172,0
-3,3,4173,0
-4,3,4175,0
-3,0,4174,0
-5,-1,4174,0
-4,4,4169,0
-5,4,4171,0
-2,3,4177,0
-5,0,4180,0
-8,-4,4179,0
-3,-4,4175,0
0,-3,4170,0
0,1,4173,0
-1,0,4173,0
-2,-2,4169,0
2,-3,4175,0
6,-1,4181,0
0,2,4179,0
-2,4,4180,0
-6,3,4177,0
-5,-5,4189,0
-3,-5,4179,0
0,-3,4181,0
-1,0,4180,0
1,-2,4173,0
1,-2,4173,0
4,0,4173,0
5,-7,4175,0
3,-7,4178,0
-1,-5,4175,0
2,1,4174,0
4,3,4170,0
-5,0,4166,0
0,0,4157,0
1,-3,4160,0
-4,-2,4165,0
-5,-4,4163,0
0,-2,4163,0
0,2,4173,0
2,1,4173,0
3,0,4169,0
5,-2,4168,0
3,0,4166,0
5,7,4169,0
9,2,4164,0
6,-2,4167,0
0,-5,4163,0
0,-3,4167,0
-3,0,4166,0
6,4,4173,0
3,-2,4162,0
2,-6,4157,0
0,-2,4170,0
-5,-9,4176,0
-2,0,4177,0
-1,-4,4172,0
-3,0,4169,0
0,1,4165,0
0,-1,4172,0
8,-3,4170,0
8,-5,4169,0
8,-3,4166,0
10,-1,4167,0
3,0,4164,0
3,1,4164,0
3,0,4171,0
0,1,4167,0
0,2,4168,0
-2,0,4174,0
3,7,4177,0
2,1,4171,0
0,-3,4167,0
5,-5,4165,0
-2,-2,4158,0
3,-3,4162,0
3,-1,4166,0
2,-1,4164,0
-1,5,4169,0
0,6,4162,0
2,10,4163,0
0,7,4162,0
3,-2,4170,0
6,0,4173,0
